Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
AMT_REQ_CREDIT_BUREAU_QRT,0.8845295953969519,-0.026487124831331872,0.06994914588760637,0.07955700634913077,0.039366157328805884,0.5,1554,
AMT_REQ_CREDIT_BUREAU_YEAR,0.8732616611503681,-0.058432704355640255,0.0834193534664236,0.06357497722204014,0.03914126523558237,0.5,1554,
NAME_CONTRACT_TYPE,0.7944773363919692,0.04438541923271813,0.12530407755660777,0.14985429388753574,0.04569959071257246,0.5,1554,
CODE_GENDER,0.7718149361873998,-0.039404150874253224,0.13496649680642103,0.14376123856429043,0.020811176746521554,0.5,1554,
FLAG_OWN_CAR,0.741680577088841,0.04803026074950006,0.1656616153984678,0.1816104908303629,0.029624276038495267,0.5,1554,
FLAG_OWN_REALTY,0.9721531508926594,-0.006110656027929307,0.012739326500732062,0.017302231140001817,0.0020058430605767175,0.5,1554,
NAME_TYPE_SUITE,0.6153846153846154,0.01620382643175017,0.47542304593070106,0.3567591420129696,0.09546165884194047,0.5,1554,
NAME_INCOME_TYPE,0.0,0.08007113175088629,0.3934084995663486,0.5485771215198372,0.1818926190197684,0.5,1554,
NAME_EDUCATION_TYPE,0.40024681201151785,0.1010889112919426,0.4688936561446522,0.6328208118121635,0.14744542233398106,0.5,1554,
NAME_FAMILY_STATUS,0.6643603061280672,-0.04213085287909492,0.2069655588776449,0.27919478176372803,0.03746986104652572,0.5,1554,
NAME_HOUSING_TYPE,0.5892963719569067,-0.05121688629657061,0.22850436947945563,0.2753632958508389,0.07761138217172969,0.5,1554,
OCCUPATION_TYPE,0.259974150124372,-0.0035119326805723608,0.6435201928872815,0.612827896880092,0.3017776825872779,0.5,1554,
WEEKDAY_APPR_PROCESS_START,0.9488655536752961,-0.00017912639283362673,0.028040878504729694,0.036122554339022145,0.01930243643121954,0.5,1554,
ORGANIZATION_TYPE,0.0,0.005411018952106195,0.95,0.975,0.4,0.5,1554,
