Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id
NAME_CONTRACT_TYPE,0.778823739,0.048034992,0.13502491,0.168905455,0.03979177,0.5,1459,
CODE_GENDER,0.762822613,-0.040612881,0.139043969,0.149586939,0.017081146,0.5,1459,
FLAG_OWN_CAR,0.738512153,0.048148384,0.166865433,0.181769401,0.028256565,0.5,1459,
FLAG_OWN_REALTY,0.971032062,-0.006282378,0.018120668,0.013103615,0.007674808,0.5,1459,
NAME_TYPE_SUITE,0.779966577,0.016570481,0.307010475,0.278505238,0.089726213,0.5,1459,
NAME_INCOME_TYPE,0,0.076640004,0.39028621,0.540205534,0.177104062,0.5,1459,
NAME_EDUCATION_TYPE,0.461675579,0.098294558,0.371097803,0.587987926,0.147551224,0.5,1459,
NAME_FAMILY_STATUS,0.647582936,-0.042402746,0.224620228,0.288651778,0.048035201,0.5,1459,
NAME_HOUSING_TYPE,0.580426646,-0.054501,0.268409225,0.270282256,0.09061245,0.5,1459,
OCCUPATION_TYPE,0.262234795,-0.006269479,0.594635322,0.608886963,0.199378882,0.5,1459,
WEEKDAY_APPR_PROCESS_START,0.931993693,0.000328918,0.029023588,0.040523022,0.015571623,0.5,1459,
ORGANIZATION_TYPE,0,0.005229603,0.916666667,0.820035461,0.270676692,0.5,1459,
