Feature,DemographicParityRatio,ConditionalDemographicDisparity,EqualOpportunityDifference,AverageOddsDifference,PredictiveParity,fs,iteration,participant_id,CMA_DemographicParityRatio,CMA_ConditionalDemographicDisparity,CMA_EqualOpportunityDifference,CMA_AverageOddsDifference,CMA_PredictiveParity
REGION_RATING_CLIENT,0.5300985851084083,-0.0025231016056529,-0.3446417075855142,-0.3738474380846509,-0.0826046714691115,0.5,4,5c83f171fff8430001e997b4,0.5313867146298173,-0.001994413833989475,-0.34298843511601695,-0.37840862279792337,-0.08030916407444795
REGION_RATING_CLIENT_W_CITY,0.5079624068693492,-0.0035261255653274,-0.3614750761566671,-0.3872122635911352,-0.0870142342638361,0.5,4,5c83f171fff8430001e997b4,0.5063794656070337,-0.0032121522713238,-0.3626454566467607,-0.3965649889063223,-0.08387313246328715
OBS_30_CNT_SOCIAL_CIRCLE,0.9740680821575476,-0.0036174998029391,-0.0335579758002778,-0.0449326187111331,-0.0285334716517763,0.5,4,5c83f171fff8430001e997b4,0.9706696452129064,-0.0019759736359288,-0.02178950165117495,-0.03164643292429613,-0.02153965570247455
DEF_30_CNT_SOCIAL_CIRCLE,0.7405069825717613,-0.0153093749325575,-0.1439061819574666,-0.1281282157415463,-0.0593453592360403,0.5,4,5c83f171fff8430001e997b4,0.7292155221334186,-0.016101247481895502,-0.15982096240119226,-0.13243809587384767,-0.06944938836865924
OBS_60_CNT_SOCIAL_CIRCLE,0.976010483705577,-0.0033604881272024,-0.0287917519263114,-0.0324125868451958,-0.0211681578141206,0.5,4,5c83f171fff8430001e997b4,0.9745937027223206,-0.001545745336596025,-0.019222098046304627,-0.025839734394329524,-0.018750257486489126
DEF_60_CNT_SOCIAL_CIRCLE,0.6772315998398659,-0.0114806760097871,-0.1858520755397305,-0.1564518414212047,-0.0866236089097237,0.5,4,5c83f171fff8430001e997b4,0.6712726746869854,-0.0117830361501656,-0.2063478495878654,-0.15593636061285962,-0.10956474533579888
CODE_GENDER,0.7566982788442083,-0.0414624250300967,-0.1443701477899232,-0.1521724557016097,-0.0181307308950892,0.5,5,5c83f171fff8430001e997b4,0.7564044731982356,-0.04163000131893384,-0.14488232379634564,-0.1522969607369719,-0.017986392182618362
NAME_FAMILY_STATUS,0.6602638323392971,-0.0408119335796028,-0.218598206071757,-0.2607570125583042,-0.0413528842140688,0.5,5,5c83f171fff8430001e997b4,0.6562207331575942,-0.04499298766253816,-0.2177476329886054,-0.2654762627436081,-0.038858457080486616
AGE,0.4650373467133809,0.00076848070655,-0.3801159331007528,-0.4453902060909834,-0.0657078770286317,0.5,5,5c83f171fff8430001e997b4,0.4623894621942076,0.0011659088727535801,-0.39073169098494026,-0.44153483646868014,-0.07403268751828265
REGION_RATING_CLIENT,0.5211677038307261,-0.0040358162104119,-0.3505032027139532,-0.3919134186453336,-0.0763863088353079,0.5,5,5c83f171fff8430001e997b4,0.5293429124699991,-0.00240269430927396,-0.34449138863560425,-0.3811095819674054,-0.07952459302661993
